Intent,Final Resolution,
"Fiscal_-_unable_to_submit_PO,_Requester_ID_is_required","If you are getting a ""requester ID"" error, this is due to insufficient Requestor authorization. Access is based on the role set up in the system. Requests for access to FI$Cal must come from the Departmental Authority/Designee (DAD). The form for this can be found at this link:

http://www.fiscal.ca.gov/access-fiscal/FISCal_Service_Center/EndUserAccessForms.html",
Difficulty_in_editing_PO's,"Access to Change Orders on POs is based on the role set up in the system. Requests for access to FI$Cal must come from the Departmental Authority/Designee (DAD). The form for this can be found at this link:

http://www.fiscal.ca.gov/access-fiscal/FISCal_Service_Center/EndUserAccessForms.html",
Dispatching_POs,"If it is taking an unusually long time to dispatch a PO, this may be caused by temporary server issues slowing down the PO dispatch process. Try waiting a few minutes and then dispatch the PO.",
SCPRS_adhoc_report,"Run the ""SCPRS Adhoc Report"" to retrieve the data for SCPRS:
Navigate to Fiscal Processes > Fiscal Report > PO Reports > SCPRS Adhoc Report.",
Edit_Contract,"Access to Contracts is based on the role set up in the system. Requests for access to FI$Cal must come from the Departmental Authority/Designee (DAD). The form for this can be found at this link:

http://www.fiscal.ca.gov/access-fiscal/FISCal_Service_Center/EndUserAccessForms.html",
Resubmitting_denied_PO,"A PO can be submitted for approval again if it has been denied. To re-trigger the workflow, make a change to the quantity or amount of any line item and save. Then revert the changes to the POs quantity/amount to the previous value and save the PO once again. This will re-trigger the routing workflow of the PO for approval.",
Copy_Requisition,"A requisition can be copied to a PO if the requisition is in ""Approved"" status and budget checked. A requisition in ""Cancelled"", ""Closed"" or ""Open"" status are not able to be copied to a PO.",
PO_buyer_Deleted,"Whenever a Buyer leaves a department, his/her ID is disabled in FI$Cal. Their POs can be accessed in “Read Only” mode by other Buyers in the department. Raise a ticket with the FI$Cal Service Center via email (fiscalservicecenter@fiscal.ca.gov ) or ServiceNow for further assistance.",
Fiscal_SCPRS_Upload_Question,"The FI$Cal SCPRS does not show when the entry was created, whether it was done through the Supertools, or through the Manual process.",
Chartfields_in_report,"The Dispatched PO PDF does not contain the Distribution Chartfields. To view the Distribution Chartfields, click on the ""View Printable Version"" link.",
PO_Inquiry,The PO Inquiry page displays all of the lines contained in the PO. These are not duplicate entries. ,
PO_not_Showing_up_in_worklist,"The PO needs to have been submitted for Approval in order for it to appear in the Approver's Worklist. Check the status of the PO to confirm the status is in ""Pending Approval."" If it is still not appearing in your Worklist there may be an issue with your profile and you should raise an incident with the FI$Cal Service Center at fiscalservicecenter@fiscal.ca.gov.",
Requisition_Deletion,"Requisitions cannot be deleted once they are entered in the system; however, you can still cancel them. If you know the requisition IDs and the range of these requisitions, you can cancel them in bulk by using the Requester's workbench. Enter the range of requisition IDs, search, and select only the ones that you want to cancel.",
SCPR_Upload,"You have to look through the SCPRS Upload history page to find out what are the errors in your file. Navigate to:

Main Menu>Sourcing>Fiscal SCPRS>SCPRS upload History",
Approval_Workflow,"To request for the Approval Workflow to be turned off for your department, you must submit the request to the FI$Cal Service Center. Recommend this be removed pending further review",
Editing_Requisition,"After you create a requisition, you are still able to edit the requisition as long as the status is not ""Complete"". If you edit an approved requisition, then you must re-submit the requisition for approval, and the requisition must re-enter the approval process and go through all required approval steps. Information on editing requisitions is found in FI$Cal University training module, ""PO112 - Processing Requisitions WBT"" found at this link:

http://www.fiscal.ca.gov/training-academy/index.html",
Copy_Contract,"A contract can be copied to a PO if it is in ""Approved"" status. Once a contract is ""Cancelled"", ""Expired"" or is in ""Open"" status the contract is not copiable to the PO. ",
Cancel_PO,"Cancelled POs may not show the ""Cancelled"" status. If this is the case, dispatch the PO from the Buyers Workbench and the PO status will change from Pending Cancel to Cancelled. ",
Cancel_PO_Lines,"The system does not allow Users to delete lines on a PO; unneeded lines on a PO are canceled. Refer to theProcurement Job Aid, ""Amending a Purchase Order to Delete Line(s) "" found at this link:

http://www.fiscal.ca.gov/access-fiscal/documents/FISCAL.302-AmendingaPOtoDeleteLines1.0.docx

The Job Aid is not found on the Procurement Job Aid page and may be obsolete. Recommend removing this pending further review/clarification.",
Approve_PO_,THe FI$Cal Service Center does not have the authority to approve departmental POs. Please contact the Approvers stated in the PO to get the PO approved.,
Supplier_Address_On_PO_,"You can change the Suppliers address on the PO using the following steps:

1. Open the PO in the Add/Update POs page, create a new PO
2. Select the Supplier ID needed
3. Click on the ""Supplier Details"" link
4. Select the address number in the prompt for ""Address"" and the selected address number will be updated in your PO",
PO_In_Approved_Status_,"A PO in ""Approved"" or ""Dispatched"" status can be edited. If the amount or quantity is changed, approval workflow is retriggered and it will need to be approved again. ",
Not_able_to_change_UOM_,"A configuration needs to be done to change a Unit of Measurement (UOM) to a particular value. Contact the FI$Cal Service Center, Fiscalservicecenter@fiscal.ca.gov or via ServiceNow for further assistance. ",
Adhoc_Po_Approver_,"If you are an Ad Hoc Approver but unable to Approve a PO, raise a ticket with the FI$Cal Service Center, fiscalservicecenter@fiscal.ca.gov or via ServiceNow for assistance.",
Incorrect_Approvers_,PO Approval Routing depends on the Reporting Structure used in the PO Chart Fields. Validate that the Reporting Structure that has been selected is correct. ,
Invalid_Project_ID_Error,The “Invalid Project ID” error message happens when the Project ID entered on the PO is invalid or inactiv at the time the PO is created. This warning message can be ignored.,
Exemption_Code_in_PO,The Exemption Code is not a Required field; you may leave the Exemption Code blank on the PO.,
Budget_Check_PO,You cannot Budget check a PO in Open Status. Please submit it for approval first. ,
Creating_PO_Copying_from_contract,"The processing option ""PO"" must be present in the Contract setup if you wish to create a PO by using ""Copy From"" Contract. If the Contract was not set up to allow creating POs from it, cancel the contract and create a new one with the correct Process Option.",
Notifications_Emails/Worklist,"To enable email notifications, navigate to: Main Menu > My System Profile. Verify the checkbox for email user & worklist user is checked. If they are both are checked and you you still don't receive email notifications, raise a ticket with the FI$Cal Service Center via email (fiscalservicecenter@fiscal.ca.gov ) or via ServiceNow for further assistance.",
"Budget_error_""Required_key_CF_is_blank""","When receiving this error message check that all the required ChartFields (Appropriation reference, Fund, ENY, Account, Alt Account, Reporting Structure & Program) have been filled and are not blank. If all required fields have valid entries, check if there are any miscellaneous charges defined. If yes, does it say ""Non Prorated Freight”? If yes, change it to ""Prorated Freight"" and run the budget check again.",
Remove_Ad_hoc_approver,"To remove an Ad Hoc Approver, you will have to re-trigger the workflow. To re-trigger the workflows:

1. Change the PO quantity or amount of any line item
2. Save the PO
3. Revert the PO quantity/amount to the previous value
4. Save the PO once again

This will re-trigger the workflow for approval and you will be able to remove the inserted approver",
Supplier_Address_On_Contract,"Some Suppliers in FI$Cal have multiple addresses. In order to search for a different supplier address, click on the Supplier Search link while creating a Procurement contract. The supplier search link will show all addresses associated with the supplier.",
PO_Approval_Warning,"This is just a warning message. You should be checking the budget header status and if that says ""valid,"" then please ignore the message. ",
FW:_what_do_i_enter_for_the_entry_event_section_because_it_will_not_let_me_submit,Entry event section is not a mandatory field for event submissions. Check all other fields you have entered like chartfield combination and click on save and post event.,
Approval_Notification,"If you are a PO Approver 1 and also the Buyer for a PO, you will get an email requesting you to approve your own PO. However, since you are the Buyer of the PO you will be skipped in the workflow.",
Change_Acquisition_Type_on_Event,"You are not able to change the Acquisition type of an Event after it is posted. You will have to create a new version of your event to make changes. Refer to the ""FI$Cal CSCR Processing"" training found at this link:

http://www.fiscal.ca.gov/training-academy/future_release_training.html",
Pre-Budget_Check_,Prove Valid error can be remedied by ensuring the requisition has the pre-budget checked and not budget check. Then match the voucher with the PO. ,
Access_Issue_,"If you are not able to view the buyer name, your access may not be configured correctly. Raise a ticket with the FI$Cal Service Center via email (fiscalservicecenter@fiscal.ca.gov ) or ServiceNow for further assistance.
",
Re-Trigger_Approval,"If your PO or requisition has been approved by another approver or not trigger to desired approver for approval, then you can re-submit you PO or requisition for approval. To re-submit:
1. Open PO
2. Make changes to the price of any PO line as shown below
3. Save the PO
4. Again make changes to price of previously changed PO line and revert the changes made in previous step
5. Save the PO, then PO will retrigger for approval",
Sales_Tax_on_PO_and_Voucher,"If the Sales Tax did not copy onto the Voucher directly, but only the Line Amount was copied onto the Voucher, then the AP Processor must manually add the Sales Tax onto the Voucher.
If the PO does not have taxes defined and the invoice has added Sales Tax, then a Change Order will need to be created for the PO. Once the Change Order has been created, create the receipt(s) to avoid Voucher Match Exceptions.
",
PO_Approvals_Routing_issue,"The PO/Requisition Approval work flow is dependent upon the Acquisition Type and Reporting Structure. If a PO/Requisition is not routing for approval to the desired approver, it means that the approver does not have access to that particular Acquisition Type or Reporting Structure.",
Approval_Notification,"You are receiving these emails because you have been identified as one of the PO Approvers (PO Approver 1) for your department. Buyers on the PO do not receive the same email notification unless they also have the role of Approver 1. However, the Buyer of the PO will be skipped in the workflow.",
SCPRS_data_entry,"Issues adding LPA contracts in SCPRS document may be remedied by verifying the following:
1. SCPRS Purchase document and LPA contract Supplier ID must be same
2. Acquisition Type and Method you have provided on Purchase SCPRS document must match LPA contract. Acquisition method must be the contract type of LPA contract
3. Purchase Date of SCPRS should be within the start and end date of LPA contract",
Requisition_Charfields,"When creating a requisition, the same ChartFields can be copied to all the lines of a requisition by using the ""Override"" option in a requisition. The values entered in the requisition will be carried forward to the PO when the PO is created by ""Copy From"" the requisition.  The ChartFields can be entered once, and then applied to other lines by using the steps provided in knowledge article KB0062074 in Service Now.",
P-Card_cardholder_profiles,The department P-Card Maintainer(s) are responsible for creating new P-Card cardholder profiles and for maintaining existing P-Card cardholder profiles for their department.  Cardholder profiles are accessed by navigating to Main Menu > Purchasing > Procurement Cards > Definitions > Cardholder Profile,
A_new_card_number_under_a_different_managing_account,Your Departmental P-Card Maintainer can verify that your new card number has been added to your cardholder profile in FI$Cal. Your Dept. P-Card Maintainer is responsible for creating and/or maintaining cardholder profiles in FI$Cal under different managing accounts.,
Department_has_added_a_new_managing_account_and_new_cardholders_for_this_new_managing_account_in_US_Bank_Access_Online,"The Department P-Card Maintainer will use the following steps to add new managing accounts and new cardholders to them:

1: Dept. P-Card Maintainer will need to contact FSC and provide new managing account information. FSC will work with US Bank to add the new managing account to the monthly transaction file.
2: Department Assigned Designee (DAD) will need to request P-Card roles for the new cardholders if they were not setup as cardholders before.
3: Dept. P-Card Maintainer will need to update existing cardholder profiles or create new cardholder profiles for the new managing account and new card numbers in FI$Cal. Refer to the Job Aid, ""Creating a Cardholder Profile and Adding Designated Departmental Proxies"" found at this link:

http://www.fiscal.ca.gov/access-fiscal/procurementjobaids.html",
P-Card_billing_cycle_date,The FI$Cal billing cycle date is from the 23rd of the current month to the 22nd of the next month.,
P-Card_billing_cycle_close_date,"US Bank typically closes the billing cycle on the 22nd of each month unless the 22nd falls on a weekend or a holiday, then US Bank will close the cycle on the next business day.",
Loading_date_of_P-Card_transactions_from_the_US_Bank_statement_into_FI$Cal,"FI$Cal will load the P-Card transaction files from US Bank the day after the billing cycle ends. Normally on the night of the 23rd, unless the billing cycle ends on a weekend or holiday, then FI$Cal will load the P-Card transaction files on the next nightly batch run. Use the following navigation to find your statements: Main Menu > Purchasing > Procurement Cards > Reconcile > Reconcile Statement
",
Creating_New_Cardholder_Profile,"The Department P-Card Maintainer creates new cardholder profiles, adds P-Cards to an existing cardholder's profile, and adds proxies to cardholder's profiles in FI$Cal. Refer to the Job Aid, ""Creating a Cardholder Profile and Adding Designated Departmental Proxies"" found at this link:

http://www.fiscal.ca.gov/access-fiscal/procurementjobaids.html",
Multiple_Employees_with_same_name_displayed_while_creating_a_new_P-Card_cardholder_profile_,"There may be many state employees with the same name. If this is the case, reach out to your departmental labor distribution team to confirm the employee ID for the P-Card cardholder in your department. This will ensure that the cardholder profile is created for the correct Employee/Employee ID. ",
Statement_and_hardcopy_of_the_receipts/invoice_still_required_by_SCO,"No, the paper packet is no longer required by SCO. However, the FI$Cal P-Card reconciliation process requires the Dept. P-Card Reconciler and/or cardholder to scan and attach the supporting documents/receipts/invoices to the P-Card transaction.",
P-Card_transactions_not_shown_on_the_Reconcile_Statement_page,"There are several reasons why your P-Card transactions cannot be searched/viewed on the Reconcile Statement page.

*The P-Card transaction date falls outside of the current billing statement cycle dates. Billing cycle closes on the 22nd of the current month for P-Card transaction dates between the 23rd of last month to the 22nd of current month.
*The P-Card number used does not exist or is unknown in FI$Cal. This means that a cardholder profile was not created in FI$Cal so the P-Card transactions failed the load statement process.
*The search criteria used are not correct. Use the Clear button to remove defaults and verify the search criteria.
*Your designated Reconciler may have already reconciled your P-Card transactions on your behalf.
*Your department P-Card Maintainer created your cardholder profile after the 23rd of the month (after load statement process already ran on the night of the 23rd) so your P-Card transactions are now waiting to be loaded.
*Check if your name is listed as ""P- card Reconciler"" in the proxies of the card definition of P-Card buyer whose statement is being reconciled.",
Email_notification_stating_U_Bank_statement_has_been_loaded_into_FI$Cal,"An email notification to inform cardholders that their US Bank Statement(s) have been loaded is sent to:
• Dept. P-Card PO User
• Dept. P-Card Req User
• Dept. P-Card Reconciler
• Dept. P-Card Maintainer
",
Creation_of_a_PO_with_P-Card_as_the_payment_method_,"You can use your P-Card as the payment method on a PO. Refer to Job Aid, Creating a PO with P-Card as the Payment Method and Dispatching"" found at this link:

http://www.fiscal.ca.gov/access-fiscal/procurementjobaids.html",
"PO_need_to_be_created_in_FI$Cal_if_the_payment_method_is_P-Card_exceed_$2,500",All purchases paid by P-Card must be executed using standard purchase documents when the purchase meets the thresholds noted in SCM-F Chapter 8 (http://www.dgs.ca.gov/pd/Resources/publications/SCMFI$Cal.aspx).,
PO_created_using_P-Card_as_the_payment_method_not_shown_on_Reconcile_Statement_page,"There are several reasons for the PO ID to not be searchable on the Reconcile Statement/Procurement Card Transactions page.

*The cardholder didn’t click OK twice after selecting the card number to specify that PO ID is going to be paid with the selected card number. Therefore, the PO ID was not marked as to be paid by P-Card.
*The PO ID has not been fully approved.",
Receipt_creation_for_PO_created_using_P-Card_as_payment_method,The Match rules do not apply to POs paid by P-Card so the system will not require a Receipt ID to be created. You are confirming that the goods/services are received when you reconcile your P-Card transactions.,
P-Card_statements_line_item_detail,US Bank sends the P-Card transaction statements at the level that the merchants are capable of sending the information.,
Sales_Tax_calculation_on_P-Card,"Here are some examples of how sales tax is calculated on the P-Card Reconciliation page:

1. If the P-Card transaction is linked to a PO ID, then the sales tax info from the PO line will carry over to the P-Card transaction. 
2. If the PO ID has multiple PO lines, then the system will also automatically split the summary P-Card transaction into the corresponding PO lines and sales/use tax from the PO lines will carry over to the newly split P-Card transaction lines.
3. If there is no PO ID, then Dept. P-Card Reconciler has to manually split the summary P-Card transaction into multiple lines. The Reconciler will need to include the unit cost of each line plus the sales/use tax amount and enter that amount on each split line. The total split amount must equal 100% of the summary total amount which is the original amount that came from US Bank.

NOTE: Sales/Use Tax that carried over from the PO ID or manually calculated on the P-Card transactions will not flow to the P-Card voucher ID. All P-Card system-generated voucher IDs are created as Tax Exempt.",
Sales_Tax_added_on_PO_or_manually_added_on_P-Card_Reconciliation_statement_page_is_not_copied_on_Voucher,Sales/Use Tax that carried over from the PO ID or manually calculated on the P-Card transactions will not flow to the P-Card voucher ID. All P-Card system-generated voucher IDs are created as Tax Exempt.,
Steps_to_add_sales_tax_to_P-Card_statements,"Follow the steps in FAQ# 19, ""How do I track the sales/use tax on my purchases paid by P-Card?"" found at this link:

http://www.fiscal.ca.gov/faqs/documents/FISCal.346-P-CardFAQs2.0.docx",
P-Card_Approval_Levels,There is only one level of approval required for P-Card transactions since there is no approval workflow process setup for the P-Card transaction reconciliation process in FI$Cal.,
Number_of_department_P-Card_Approvers_could_I_assign_to_one_P-Card_cardholder,The department may assign as many Department P-Card Approvers to one cardholder as they deem appropriate on the Assign Proxies page.,
Email_notification_when_P-Card_transactions_are_approved,The Department P-Card Reconciler and/or actual Cardholder will need to log into FI$Cal and check the status of their P-Card transactions. No email notification will be sent by FI$Cal.,
Email_notification_for_Department_P-Card_Approver_when_P-Card_transactions_are_approved,FI$Cal will send an email notification to the Department P-Card Approver when P-Card transactions are ready for approval. The system sends an email that transactions are ready for approval to both Approvers and the Departmental P-Card Maintainer. ,
One_department_P-Card_Reconciler_reconcile_for_many_department_P-Card_cardholders,The department may assign one Department P-Card Reconciler to as many Department P-Card Cardholders as they wish on the Assign Proxies page.,
Multiple_department_P-Card_Reconcilers_reconcile_for_one_department_P-Card_Cardholder,The department may assign as many Department P-Card Reconcilers as they wish to one Department P-Card Cardholder on the Assign Proxies page.,
P-Card_voucher_is_created_only_for_US_Bank,The vouchers created for the P-Card transactions are sent to US Bank since US Bank has already paid the Suppliers.,
P-Card_voucher_creation_in_system,"P-Card Vouchers are system-generated. All P-Card transactions that have been Reconciled, Approved, and have Valid ChartField Status will be staged and built into the Voucher ID by the system overnight. ",
Change_Supplier_Address_on_PO,"To change the supplier address on a PO:

1. Navigate to Add/update PO page and open the PO
2. Click on Supplier details link
3. Click on Address prompt and select your address
4. Click on Show address details button to view the address. Click on OK to select the address",
Voucher_created_from_a_PO,"To check if a Voucher has been created from a PO, refer to the Document Status link and the Activity Summary links visible on the Add/Update PO page. Information related to Vouchers, Receipts Created, Payments, and Matching will also be available via these links.",
Tax_Calculations,"If the sales tax and the supplier’s sales tax calculation method do not match, send a request to the supplier to calculate the sales tax in the same way as it appears on the PO to match the values. This cannot be changed on the PO side. Sales tax on a PO is calculated at line level only. For additional assistance, raise a ticket with the FI$Cal Service Center via email (fiscalservicecenter@fiscal.ca.gov ) or via ServiceNow for further assistance.",
Activity_Log_on_a_PO,"You cannot add anything under the Activity Log link, it is just used for display purposes only and it displays all the information entered in the “Enter Dispute Information” link. More information can be added to the ""Enter Dispute Information"" section by clicking on the “+” icon under “Enter Dispute Information” link and typing.",
Contract_amendment,"If you unable to find your contract using search, try changing your search criteria to look for ""draft"" or ""expired"" contracts.",
Bueyr's_workbench,"To Budget Check multiple POs, use the Buyer's Workbench page. The nagivation for the Buyer's Workbench page is Main Menu>Purchasing> Purchase Orders >Buyer's Workbench",
Cancel_PO,"If you are unable to Cancel a PO, please check via the Document Status link if any Receipts, Vouchers and/or Payments have been created from the PO. If so, the Puchase Order cannot be Cancelled.",
Fiscal_SCPRS_Upload_Issue,Contact eprocure@dgs.ca.gov for help on how to enter/edit SCPRS data in a file.,
Re-print_Dispatched_Pos,"To re-dispatch the PO and print its report, refer to Procurement Job Aid, ""Creating a Purchase Order (PO) with P-Card as the Payment Method and Dispatching PO 1.0"" found at this link:

http://www.fiscal.ca.gov/access-fiscal/procurementjobaids.html",
Ship_To_Location,"To add, update, or remove a ship to location raise a ticket with Fiscal Service Center via ServiceNow or by emailing fiscalservicecenter@fiscal.ca.gov along with a Configuration Modification Request (CMR) of the requested changes. CMRs can be found via this link:

http://www.fiscal.ca.gov/access-fiscal/fiscal_service_center/CMR.html",
Receipt_Status,"A receipt's status changes from ""Received"" to ""Moved"" once it has been successfully processed. ",
Adding_Requisition,"The line information entered on a requisition are saved in your cart separately. Once you save all the lines for items you are requesting to your cart, click the ""Checkout"" button. You should see all the items you added to the cart on your requisition.",
Receipts_Roles,"Access to Receipts is based on the role set up in the system. Requests for access to FI$Cal must come from the Departmental Authority/Designee (DAD). The form for this can be found at this link:

http://www.fiscal.ca.gov/access-fiscal/FISCal_Service_Center/EndUserAccessForms.html",
To_enter_Number_of_offers,"This field becomes a required field when the Acquisition Method selected is ""SB Option-Competitive."" When the Sub-Type is Consulting Services, an extra link populates, i.e.: Consulting Services Justification. Enter the number of offers by clicking on the Consulting Services Justification link.",
To_enter_discount_in_requisition,The discount on requisitions can be entered as a line item with a negative price.,
To_change_chart_fields,"To edit PO ChartFields, create a change order for the PO. To edit contract ChartFields, create a new version of the contract.",
To_amend_a_contract,"If the “New Version” is grayed out in a contract you wish it edit, check to see if a draft version of the contract has already been created. You can filter your contract search by selecting version status as ""Draft"" and click on the search button. If a draft version is present, click on edit and then update the contract.",
No_approvals_Required_error_issue,"The “No approvals are required” issue can be solved by re-triggering the workflow by following these steps:
1. Open PO
2. Change amount or price of any of the PO line items and save the PO
3. Again change the amount or price of same PO lines and revert the change back to the previous values. This will re-trigger the PO work flow for approval
",
To_remove_sales_tax_from_line,"Navigate to Sales Tax Information on the PO line and provide the Sales Tax Applicability as “Purchaser is Exonerated” and the click on “Calculate SUT”. Once the PO is saved, your Change Order will be created and the Sales Tax will be removed from that line.",
SCPRS_upload_error,"Check Acquisition Type is selected as per LPA contract, which may be the cause as to why the PO in not loading.",
Change_the_receipt_price_from_the_line_price_,"If you want to change the price on a receipt to something other than the price on the PO line, you will need to mark the PO line as an Amount only. When PO line is an amount only, you have the option of changing the price on the receipt.",
Looking_for_Workbench_ID_to_close_the_PO,The WorkBench ID is a freeform field and you can type anything you wish as the Workbench ID.,
To_make_chnages_in_PO,"To change a PO follow this navigation:

Main Menu > Purchasing > Purchase Orders > Add/Update PO's

If the PO is in the “Dispatched” status, a Change Order will need to be created.",
To_bring_back_requisition_in_inbox,"The system does not allow reinstating a terminated workflow. Have the requestor re-trigger the workflow by following these steps:
1. Open PO
2. Change amount or price of any of the PO line items and save the PO
3. Again change the amount or price of same PO lines and revert the change back to the previous values. This will re-trigger the PO work flow for approval",
Issue_with_printable_version,The printable version of a PO is an unofficial document and is labeled as a “Draft” version. The official version will be printed when the PO is dispatched.,
Voucher_created_for_multiple_P-Card_transactions,"The FI$Cal system will pull, stage and build all approved P-Card transactions by managing account. Therefore, if multiple cardholders have approved P-Card transactions from multiple billing cycles, all transactions will be built into one voucher on a nightly basis.",
Frequency_of_voucher_staging_and_voucher_build_process_for_P-Card_,The voucher stage and voucher build processes for P-Card transactions run nightly.,
Email_for_exceeding_the_grace_period,"“Exceeding the grace period” emails sent out when reconciled P-Card transactions are in ""Verified,"" are an indicator that the transactions are not yet approved.",
Email_for_exceeding_the_grace_period_for_approved_P-Card_transactions,"If you are getting “Exceeding the grace period” emails on an Approved P-Card transaction, check that the transaction has been Budget Checked, that it did not fail Budget Check, or may have invalid Chart of Account entries.

The three required criteria for P-Card transactions to be staged and built into a Voucher ID are as follows:
• P-Card Status = Approved
• Budget Status = Valid
• ChartField Status = Valid",
Criteria_for_P-Card_transactions_for_voucher_staging_and_voucher_build,"The three required criteria for P-Card transactions to be staged and built into a Voucher ID are as follows:
• P-Card Status = Approved
• Budget Status = Valid
• ChartField Status = Valid
",
SCO_payment_to_US_Bank_for_P-Card_transactions,"The Warrant sent by the State Controllers Office to US Bank is issued by the Managing Account, not by individual P-Card statement. ",
Splitting_of_P-Card_transactions,"1. If a PO ID exists in FI$Cal, then the Department P-Card Reconciler and/or Cardholder will link the associated PO ID to the P-Card transaction. The system will automatically split the P-Card transaction into the respective PO line(s).
2. If a PO does not exist in FI$Cal, then the Department P-Card Reconciler will need to manually split the P-Card transaction.

Please note the amount entered for all lines must equal 100% of the total summary from US Bank. For detailed steps on how to split transactions, refer to P-Card FAQ# 34, ""Who will be splitting the P-Card transactions?"" found at this link:

http://www.fiscal.ca.gov/faqs/HowToFAQs.html",
Add_attachments_for_P-Card_transactions,"How to attach supporting documents to P-Card transactions is explained in P-Card FAQ #35 , found at this link:

http://www.fiscal.ca.gov/faqs/HowToFAQs.html",
Budget_checking_P-Card_transaction,The Department P-Card Reconciler and/or the actual Cardholder should click the Validate Budget button to run the Budget Check process prior to changing the Status from Staged to Verified for all P-Card transaction lines.,
Chartfield_values_for_P-Card_transaction,"P-Card Chartfield Values are only editable by the Reconciler if the status is “Staged”. However, the Departmental P-Card Approver can make changes to the Chartfields on behalf of the Reconciler or alternately have the Reconciler make the changes by flipping the status from ""Verified"" back to ""Staged"". The Reconciler makes the changes and then flips the status from ""Staged"" to ""Verified"" which triggers the approval workflow again.

",
Modify/Edit_the_approved_P-Card_transaction,Approved P-Card transactions can be edited by the Departmental P-Card Approvers and Maintainers on the same day they are approved as long as it is before the Voucher State and Voucher Build processes run overnight.,
Search_vouchered_P-Card_transactions,"All closed P-Card transactions are searchable and viewable on the Reconcile Statement search page if you 1) clear all search fields, enter the Employee ID, and choose ""Closed"" in the Statement Status field. 
",
Reduce_amount_on_PO,"""Order Amount is below the per order minimum amount at contract"" indicates that the minimum amount on the Contract is greater than the amount to which you are reducing the PO line. To reduce the amount on a PO, first change the value of ""minimum amount"" on the Contract, then go back and reduce the amount on the PO. ",
Password_Reset,Raise a ticket with the FI$Cal Service Center via email (fiscalservicecenter@fiscal.ca.gov ) or ServiceNow for assistance resetting your password.,
Unable_to_copy_a_requisition,"If you are not able to copy a requisition to a PO, check the ""document status"" link to view if a PO has already been created from this requisition. If a PO has already been created, you will not be able to use the requisition again for another PO.",
Re-open_cancelled_PO,A PO cannot be re-opened once it is cancelled.,
Change_Sales_Tax,"The steps to change the Sales Tax on a PO are:

1. Change the PO date to the current date
2. Save the PO
3. Go to sale tax information page and click on calculate SUT button

This will calculate the correct sales tax of the current line. Repeat the above steps and check that the tax caluculted for each line.",
Issue_on_Voucher,"You are receiving this error message while creating a voucher because the PO receiving is marked as required and no receipts have been created before creating a voucher. Either change the Receiving required Option to ""Optional"" or ""DO Not"" , or you can ensure you create the receipt before attempting to create a voucher.",
Event_Date_question,An event date can be changed by creating a new version of an event and making necessary changes to it. This applies to events that are completed and serves to extend the event date. ,
Close_Contract,"Once a contract is approved all, the previous versions are logged in the history and do not need to be closed. The current version is the latest approved version and is the only one that needs to be closed when required. ",
Acquisition_method,"You will not be able to change the Acquisition Type and Method on a PO after it has been dispatched. If you want a different Acquisition Type and Method, create a new PO and use ""copy from PO"". Any receipts created from the cancelled PO will need to be cancelled.",
Edit_PO,"After editing a PO, save and budget check it for the encumbrance balance to reflect correctly.",
PDF_information,Information regarding who last uploaded/modified a PDF file is not saved in the system.,
Accounting_Date,"In order to edit the account date on a PO which already has a voucher created from it, you will unpost, unmatch, and delete the voucher.",
Email_Notification_for_Pos,"To enable email notifications: Main Menu > My System Profile. Check if the checkbox for email user & worklist user is checked. If they are both checked and the issues is still present, submit a ticket with the FI$Cal Service Center, fiscalservicecenter@fiscal.ca.gov or ServiceNow for further assistance.",
Attachments_on_PO,"For the attachments to be viewable to approvers, upload the attachments to each line.",
Card_Number_Disappeared_,"Unmask the Card number by selecting the 'Display Unmasked Card number' check box on the card holder profile. Then, mask it again. ",
New_Version_of_Contract_and_Warning_message_in_PO,"To create a new version or amendments for a contract, follow knowledge article KB0062069 in ServiceNow.
Once the new version of a contract is created and approved, open the PO created from the contract and change the Contract version to the latest approved version. Finally, save the PO to resolve the warning message issue.",
Unapproved_event_not_showing_on_Cal-eProcure,"An event is shown in Cal eProcure portal ONLY if it satisfies the below two conditions:

1. The event must be defined as a ""Public Event"" so that it is viewable to anyone who visits Cale procure portal and does not requires to login with credentials. 
2. The Event must be approved by all approvers so that the Event status is ""Posted"".

If the Event is not showing on the approver's worklist, follow navigation below, search for the event, and then approve it: 
Navigate to Main Menu > Sourcing > Approve Events to approve an Event.",
Cancel_a_PO,"Reverting the amount of a PO created from a contract is done one of two ways, depending on if the PO has been paid:
1. If a PO is created from a Contract and has not been paid, reverting the amount on the contract requires cancelling the PO so the encumbrance is returned to the contract.
2. If a PO is created from a Contract and has been paid, then a Change Order must be created for the PO. In addition, the PO amount must reduce to the amount already paid, then the PO must be closed so that remaining amounts flow back to the contract correctly.",
Change_Buyer,"To assign other buyer's PO to you, you will need to create a change order and change the buyer ID on PO to your ID.",
Job_Aid_assistance_to_Revert_amount_on_Contract,"The system does not return the unused amount in a PO when it is closed. To work through this limitation you will have to: 
1.Create a change order for the PO so that PO lines amounts are same as amounts that are paid till date.
2.Budget Check the PO.
3.Close the Purchae Order.
4.Budget check Closed PO.
5.Check whether the remainder amount will be sent to Contracts.

You can also refer to Knowledge article KB0054766 Service Now.",
PO_report,Please check the PeopleSoft query RSY_FSC_PO_HDR to find out which POs belongs to a specific Fiscal Year.,
